Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
1,0.12667794204201455,4,249.8092,2,3,4,61.11577537755698
2,0.13884601542716304,14,48.2692,2,1,3,21.057606701617352
1,0.12946070832495857,10,141.618,2,3,4,45.79596052055246
2,0.0,6,182.095,1,1,1,27.06252020784465
1,0.0,9,53.8614,3,1,4,31.538947350854944
2,0.0,0,51.4008,2,1,3,23.592558148704434
2,0.11287643243830839,13,57.6588,3,1,4,18.53517736629461
1,0.3570292102895784,13,107.7622,2,1,2,63.42525995216732
2,0.1291786127809089,5,96.9726,1,2,4,32.81156198659247
2,0.3073265201703231,5,187.8214,1,2,4,68.63333738060535
1,0.0,6,45.5402,2,3,4,38.93618625392066
2,0.2132223557697457,4,144.1102,1,3,4,46.76700760151327
2,0.31624911067068634,6,145.4786,2,3,4,39.86558164632745
2,0.21738750654073938,13,119.6782,1,3,4,46.31638586936593
1,0.2608146851693746,6,196.4426,3,1,4,44.468258342327736
2,0.262847790555675,2,56.3614,1,3,4,39.33597844213361
1,0.09271489092912745,8,115.3492,2,1,3,40.27268056635913
2,0.26305204047868547,2,54.3614,2,3,4,26.8029513300308
1,0.18503427250106938,7,113.2834,2,1,2,47.99654154207363
1,0.32014390514267177,4,230.5352,1,2,4,52.42539842480932
2,0.3717395284335525,13,250.8724,3,1,4,61.44172849131118
2,0.1881486725969652,0,144.5444,2,1,2,63.74984862727126
1,0.16030637541907058,9,196.5084,1,2,4,39.84052208493257
1,0.2399103957730886,0,107.6938,1,3,1,14.641980740323353
2,0.16092384845012875,5,165.021,1,3,4,63.859415907131506
1,0.31604920977594614,9,45.906000000000006,1,2,4,28.963908576019225
2,0.2582507250715862,13,42.3112,1,2,4,32.63862742212056
1,0.13912631670535952,7,39.1164,3,1,4,17.57643877467788
2,0.40182898601270667,4,45.5086,1,1,1,13.357933971988333
2,0.2687411412493443,3,43.6454,1,3,1,11.217673555599664
1,0.41273302630150643,4,55.7956,1,1,1,12.797921706277156
1,0.28430506854433674,8,96.4436,2,1,3,52.36186016558235
1,0.0,13,256.6672,2,1,3,55.38958746912636
1,0.0,1,93.1436,1,2,4,46.63156441724854
1,0.31289619524692214,14,174.8738,1,3,4,45.66492746079862
1,0.2988162261323839,8,146.7102,2,3,4,61.57162658237965
2,0.24395042939089082,6,128.0678,2,1,2,52.89320939402335
2,0.336338955519577,14,122.5388,2,1,3,40.12361399475376
2,0.3508724169837236,13,36.9874,2,1,2,19.70181209939837
1,0.16272969612212762,13,87.6198,2,1,2,46.69577068643369
1,0.3201741775971323,4,230.6352,1,3,4,58.61337731269202
1,0.1637633353348667,10,126.00200000000001,3,1,4,46.37385039006358
1,0.34324677420188526,13,192.9136,2,3,4,50.27302258667167
1,0.2628741733225232,3,259.9278,2,1,3,82.2710325691856
2,0.2056158238074103,3,126.5046,3,1,4,19.326505116031715
1,0.2991637110346106,4,178.1002,1,1,1,18.92618292207914
1,0.0,8,153.3024,1,2,4,49.283246646299595
1,0.16087130570738836,3,265.2226,1,2,4,76.25678461619006
2,0.3487588292789159,0,60.622,1,3,4,50.760673754393764
2,0.505366100960482,4,196.8794,1,3,1,27.934165460954798
1,0.2603453706137292,8,143.8812,1,3,4,55.987377148782386
1,0.3997547410600655,5,141.5154,3,1,4,29.170059993081946
2,0.16940168830327518,3,117.0492,3,1,4,28.477085525032226
1,0.25503250969239194,6,196.3794,1,2,4,55.868330921909596
1,0.16958777373383965,9,151.4708,1,2,4,69.39067372493223
1,0.10026517341529909,13,249.0408,2,1,3,79.11080836396503
1,0.21944780244969417,9,106.1622,1,2,4,46.01351975235105
1,0.2682502506988577,7,38.0506,2,3,4,28.230526031230802
1,0.41651086900583995,13,194.511,1,3,4,70.07335442234802
1,0.24714808718660963,3,180.0344,1,3,1,29.869248400319684
1,0.0,6,246.9144,2,1,3,56.437462735314384
2,0.20017774851366474,10,87.3514,1,2,4,32.59780360699168
1,0.10995487256142858,6,38.2848,2,1,2,22.01595784879686
2,0.3876673703060396,5,51.0692,1,3,1,12.157614897668045
1,0.161293270163389,13,255.8356,2,1,2,50.43169638233479
1,0.4416652872934435,13,185.4266,1,1,1,13.58037554709
1,0.1818851698187623,10,172.5738,1,2,4,69.75432889792576
2,0.28097411802513056,4,186.024,1,2,4,33.44464082629682
1,0.20420762963219566,14,164.8526,1,2,4,47.98266770407832
1,0.3787118205179236,8,95.84100000000001,1,3,4,45.02622569125687
2,0.32449356233984056,13,170.1764,1,3,4,58.61337731269202
2,0.3486136844703604,0,59.222,3,1,4,24.47897056659042
1,0.0,15,164.7526,1,2,4,67.85773942594905
1,0.10641833488642828,3,189.6188,1,2,4,47.80194138316978
1,0.43169103303172746,9,254.3698,2,3,4,74.7043211601578
2,0.15558168594021599,5,114.0176,1,3,4,47.85762217243979
1,0.1822932143553347,13,172.3422,2,3,4,34.743278486636804
1,0.3372244712354072,0,89.9804,1,3,1,25.36065456568501
1,0.3354944217121948,5,104.9622,1,2,4,39.84887702307306
1,0.0,3,222.5456,1,2,4,72.83607897189414
1,0.24362315366155163,13,101.87,1,3,4,41.20424735388331
2,0.11868890849611854,5,180.3344,1,3,4,37.78194277694042
1,0.21267567797000203,13,187.9556,2,1,3,68.51196975711616
1,0.5416804953106582,9,194.6136,1,3,1,24.150378879015545
2,0.17714977843621482,0,171.3764,2,1,2,55.60553209888383
2,0.3555261734387498,6,177.0028,1,2,4,49.79396750611463
1,0.1593860031495865,6,160.99200000000002,1,2,4,52.119708364494905
2,0.1976301520517555,2,155.963,2,1,2,57.32122643489059
2,0.3508785601885644,13,95.6436,1,3,4,25.725574823509774
1,0.19905779562730017,10,117.2808,2,3,4,39.0301217010657
1,0.20105022506826498,6,122.17299999999999,1,1,1,19.22287699591297
1,0.3244597216913064,4,39.9138,2,3,4,26.276122240543792
1,0.18431005127230582,14,55.1614,1,2,4,37.169005905458384
1,0.23067867695129518,6,57.893,1,2,4,24.95041081826109
1,0.15613681820762199,8,114.5492,1,2,4,35.69791590555393
1,0.09856264505379307,5,120.0414,1,3,1,22.07635839535135
1,0.36246898074180084,5,246.046,2,3,4,35.09601116936226
2,0.2731539675714047,6,187.4556,1,2,4,61.2789686597286
1,0.16870021043258956,9,149.9708,2,1,2,66.05795334401452
2,0.27317979610505605,6,187.8556,1,3,4,36.25312676170153
1,0.2523788501439849,5,151.0708,1,2,4,42.49293588350892
2,0.21400427332181945,13,178.5344,2,1,2,53.43173588795333
2,0.3403780589285978,13,179.1028,2,3,4,62.42004165330235
2,0.15758428221113932,14,38.7822,3,1,4,25.84177625473915
1,0.18446655252375702,13,212.0902,2,1,3,56.44336099135132
2,0.2162628030892044,3,141.1838,3,1,4,47.41034486269848
2,0.3414333053467397,0,163.121,3,1,4,42.359544379041665
2,0.0,0,121.3098,1,2,4,50.306120899946166
1,0.5281799645954018,14,225.372,1,3,1,26.059854182247452
1,0.18950937971509485,14,41.4138,3,1,4,28.50045613670069
1,0.2825000283185827,4,232.53,1,3,4,26.44031013433844
1,0.07419892856369288,5,102.4016,1,2,4,52.27277685373143
2,0.25421514903718856,10,176.937,1,3,1,13.28295900769102
1,0.2676507743310301,13,121.7098,2,1,2,64.01041477759694
2,0.0,1,173.2054,1,2,4,56.141759858415554
1,0.18076968219256234,5,239.0906,2,3,4,77.08608823905907
2,0.4009489418866198,5,192.4478,1,2,4,69.59665940258914
1,0.26288904503611404,13,109.0228,1,2,4,50.418492639110106
